('know', 0.650641918182373)
('do', 0.6224825382232666)
('want', 0.5852022171020508)
("don'tknow", 0.5731770396232605)
('Barney_Fife_THAT', 0.5722844004631042)
('sanctuary_DellaBianca', 0.5647732019424438)
('plugin_document.write', 0.5617921352386475)
('ask', 0.5609235763549805)
('political_consequence_Juakali', 0.5596405267715454)
('anyway', 0.5552490949630737)

('bank', 0.7109286189079285)
('banking', 0.4975679814815521)
('Bank', 0.4956449866294861)
('banks', 0.46091216802597046)
('Allfirst_Financial', 0.4242730140686035)
('bankâ_€_™', 0.42164602875709534)
('account', 0.41424813866615295)
('branch', 0.4094662070274353)
('Bankâ_€_™', 0.4070347845554352)
('depositor', 0.40694522857666016)

('bank', 0.7185675501823425)
('loans', 0.6508975028991699)
('lender', 0.6332707405090332)
('Loan', 0.6045912504196167)
('lending', 0.5684548616409302)
('mortgage', 0.5599803328514099)
('banks', 0.5513405203819275)
('overdraft', 0.5510851740837097)
('Bank', 0.5495363473892212)
