('band', 0.7647302150726318)
('rock', 0.7635905742645264)
('rockers', 0.6342048645019531)
('indie_rock', 0.6263260841369629)
('bands', 0.6238795518875122)
('alt_rock', 0.6219274401664734)
('rock_n_roll', 0.6018344163894653)
('punk_emo', 0.6014248728752136)
('Indie_rock', 0.5909041166305542)
('reggae_ska', 0.5881397724151611)

('yeah', 0.6739026308059692)
('know', 0.6712883710861206)
('guess', 0.6662089824676514)
('think', 0.6604170799255371)
('damn', 0.6531645059585571)
('gonna', 0.6527060270309448)
('hey', 0.6436476111412048)
("y'know", 0.6420143246650696)
('loooooove', 0.639792263507843)
('RUSH_Yeah', 0.6373432874679565)

('surface', 0.6296177506446838)
('rocks', 0.5883013010025024)
('porous_sandstone', 0.5673259496688843)
('limestone_bedrock', 0.5612549185752869)
('subsurface', 0.5609822273254395)
('solidified_lava', 0.5609251260757446)
('rock', 0.559066653251648)
('sedimentary_rock', 0.5512007474899292)
('granitic_basement', 0.5505127906799316)
('overlying_sediments', 0.5445167422294617)
