('sin', 0.768069863319397)
('sins', 0.5173856616020203)
('sinful', 0.5012495517730713)
('immorality', 0.4647255837917328)
('mortal_sins', 0.4510323703289032)
('iniquity', 0.4427948594093323)
('sinning', 0.4419204592704773)
('grievous_sin', 0.43736720085144043)
('sinners', 0.43698275089263916)
('Taylor_Swift_absolved', 0.43592894077301025)

('sin', 0.5730200409889221)
('sl', 0.48707154393196106)
('bli', 0.47847995162010193)
('f', 0.47761282324790955)
('increa', 0.4769040644168854)
('tempus', 0.47464719414711)
('dx', 0.4713866114616394)
('meas', 0.4662186801433563)
('nks', 0.46418675780296326)
('bla', 0.46371370553970337)

('Christ', 0.7519713044166565)
('Jesus_Christ', 0.7235422730445862)
('God', 0.7159715890884399)
('Christ_Himself', 0.7010456323623657)
('sin', 0.6923140287399292)
('Rom._#:##', 0.6878809332847595)
('1_Corinthians_##:##-##', 0.6818875074386597)
('endureth', 0.6784762144088745)
('Gal._#:##', 0.6752605438232422)
('Lord_Jesus_Christ', 0.6706188917160034)
